# 83 j-invariant representatives, one per j, for good reduction outside {2,3}.
# Data authors: Rafael von Kaenel and Benjamin Matschke (2015).
# Extracted and deduplicated by exact j; not a new curve-classification result.
# Source license: Creative Commons 3.0 BY-NC, as stated in the source header.
# Source repository: bmatschke/solving-classical-diophantine-equations
# Source commit: 97034f286c52b8e64f82bf00816a561aa01e26cd
# Source path: elliptic-curve-database/curves__S_2_p_pMax250.txt
# Source full-file Git blob: ae99430519ac37dae02a6512e4fccbde53858801
# Source {2,3} block: lines 13-764, 752 pairs; the next block starts at line 766.
# Format: (u,v). Each pair realizes j=1728*u^3/(u^3-v^2).
# Our checker constructs y^2=x^3-27*u*x-54*v and verifies good reduction
# outside 2,3 directly from its nonzero integral discriminant.
# Exhaustiveness uses the known external upper bound of 83 j-invariants,
# not a claim that finite sampling proves this classification.
(1174752,1273266432)
(51705,-11757069)
(52704,12099456)
(6624,-539136)
(1440,-54648)
(945,29079)
(2592,132192)
(1872,-81216)
(1728,72576)
(1440,55296)
(153,-1917)
(864,25920)
(1008,-32832)
(225,-3537)
(7648,706816)
(288,5184)
(297,-5589)
(432,10368)
(864,31104)
(576,17280)
(657,-22329)
(288,6912)
(1296,-77760)
(432,15552)
(144,-3456)
(4545,622431)
(304,-13760)
(144,5184)
(160,8704)
(144,-8640)
(144,12096)
(144,-29376)
(0,-216)
(-32,-2816)
(-752,150976)
(-32,640)
(-135,-4941)
(-288,-13824)
(-432,-15552)
(-80,1216)
(-288,6912)
(-32,-224)
(-144,1728)
(-288,3456)
(-63,351)
(-368,-4672)
(-432,-5184)
(-288,-1728)
(-135,243)
(-207,-297)
(-48,0)
(1296,15552)
(144,-864)
(1377,-26001)
(112,-640)
(432,-5184)
(288,3456)
(208,2240)
(1296,-36288)
(864,-20736)
(160,-1664)
(432,7776)
(160,1792)
(112,-1088)
(297,4779)
(2592,-124416)
(1168,38080)
(432,-8640)
(352,6400)
(208,-2944)
(720,19008)
(513,11583)
(528,-12096)
(1120,-37376)
(7776,684288)
(1696,69760)
(1008,-31968)
(1552,61120)
(3088,171584)
(5913,-454653)
(31072,-5477120)
(18448,2505664)
(260496,-132954048)
